id,routeId,shape,topic,title,instruction,input,support,model,grammar,partner,criterion,retry
mx-0-kennismaken-05-triangle,route-0,triangle,kennismaken,Een dagdeel kiezen,Kies een lestijd: ochtend of avond.,Beide tijden zijn mogelijk.,Ik kies de …,Ik kies de ochtend.,"Een dagdeel kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een dagdeel kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-05-diamond,route-0,diamond,kennismaken,Afwezigheid doorgeven,Zeg tegen de docent dat je vandaag werkt.,Je kunt vandaag niet naar de les. Je oefent een bericht.,Ik kan niet …,Ik kan niet komen. Ik werk.,"Afwezigheid doorgeven met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan afwezigheid doorgeven. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-06-circle,route-0,circle,kennismaken,Een verjaardagsmaand noemen,Vertel in welke maand je jarig bent.,Je mag een maand verzinnen.,Ik ben in … jarig.,Ik ben in mei jarig.,"Een verjaardagsmaand noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een verjaardagsmaand noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-06-square,route-0,square,kennismaken,Naar een verjaardagsmaand vragen,Vraag wanneer de ander jarig is.,Een maand is genoeg. Verzin gerust iets.,Wanneer ben je …?,Wanneer ben je jarig?,"Naar een verjaardagsmaand vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een verjaardagsmaand vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-06-triangle,route-0,triangle,kennismaken,Een feestplek kiezen,Kies een plek voor een feest: thuis of buiten.,Het is droog. Beide keuzes kunnen.,Het feest is …,Het feest is thuis.,"Een feestplek kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een feestplek kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-06-diamond,route-0,diamond,kennismaken,Iemand feliciteren,Feliciteer een cursist met een verjaardag.,De cursist is vandaag jarig in het spel.,Gefelici…!,Gefeliciteerd!,"Iemand feliciteren met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan iemand feliciteren. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-07-circle,route-0,circle,kennismaken,Een lesdag noemen,Vertel op welke dag je les hebt.,Je mag een lesdag verzinnen.,Ik heb … les.,Ik heb maandag les.,"Een lesdag noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een lesdag noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-07-square,route-0,square,kennismaken,Naar een lesdag vragen,Vraag op welke dag de ander les heeft.,De ander kiest een dag.,Welke dag …?,Welke dag heb je les?,"Naar een lesdag vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een lesdag vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-07-triangle,route-0,triangle,kennismaken,Een lesdag kiezen,Kies een lesdag: dinsdag of donderdag.,Beide dagen zijn vrij in het oefenrooster.,Ik kies …,Ik kies donderdag.,"Een lesdag kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een lesdag kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-07-diamond,route-0,diamond,kennismaken,Een lesdag corrigeren,Verbeter de lesdag op het kaartje.,Op het kaartje staat dinsdag. Jouw les is donderdag.,"…, niet …","Donderdag, niet dinsdag.","Een lesdag corrigeren met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan een lesdag corrigeren. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-08-circle,route-0,circle,kennismaken,Een begintijd doorgeven,Vertel hoe laat jouw les begint.,Oefenrooster: de les begint om negen uur.,De les begint om …,De les begint om negen uur.,"Een begintijd doorgeven met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een begintijd doorgeven. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-08-square,route-0,square,kennismaken,Naar een begintijd vragen,Vraag hoe laat de les begint.,De docent weet de tijd.,Hoe laat begint …?,Hoe laat begint de les?,"Naar een begintijd vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een begintijd vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-08-triangle,route-0,triangle,kennismaken,Een begintijd kiezen,Kies een begintijd: negen uur of tien uur.,Beide tijden kunnen.,Ik begin om …,Ik begin om tien uur.,"Een begintijd kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een begintijd kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-08-diamond,route-0,diamond,kennismaken,Toestemming vragen om binnen te komen,Vraag of je naar binnen mag.,Je bent bij het lokaal. De les begint.,Mag ik …?,Mag ik binnenkomen?,"Toestemming vragen om binnen te komen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan toestemming vragen om binnen te komen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-09-circle,route-0,circle,kennismaken,Een bekende plek noemen,Vertel welke plek in de buurt je kent.,"Bijvoorbeeld: park, winkel of bibliotheek.",Ik ken …,Ik ken het park.,"Een bekende plek noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een bekende plek noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-09-square,route-0,square,kennismaken,Naar een buurtvoorziening vragen,Vraag waar de bibliotheek is.,Je praat met een buur.,Waar is …?,Waar is de bibliotheek?,"Naar een buurtvoorziening vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een buurtvoorziening vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-09-triangle,route-0,triangle,kennismaken,Een plek voor een bezoek kiezen,Kies een plek voor een bezoek: park of bibliotheek.,Je hebt vrij. Beide plekken zijn open.,Ik bezoek …,Ik bezoek de bibliotheek.,"Een plek voor een bezoek kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een plek voor een bezoek kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-09-diamond,route-0,diamond,kennismaken,Iemand uitnodigen,Vraag de buur mee naar het park.,Je gaat nu wandelen.,Ga je mee naar …?,Ga je mee naar het park?,"Iemand uitnodigen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan iemand uitnodigen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-kennismaken-10-circle,route-0,circle,kennismaken,Een manier van contact noemen,Vertel hoe je berichten krijgt.,Bijvoorbeeld: op je telefoon of op papier.,Ik krijg een bericht op …,Ik krijg een bericht op mijn telefoon.,"Een manier van contact noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een manier van contact noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-kennismaken-10-square,route-0,square,kennismaken,Naar een contactmogelijkheid vragen,Vraag of de ander een telefoon heeft.,Je wilt weten of jullie kunnen bellen.,Heb je een …?,Heb je een telefoon?,"Naar een contactmogelijkheid vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar een contactmogelijkheid vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-kennismaken-10-triangle,route-0,triangle,kennismaken,Een contactvorm kiezen,Kies hoe je contact maakt: bellen of een bericht.,Je wilt iets aan een vriend vertellen.,Ik stuur … / Ik bel …,Ik stuur een bericht.,"Een contactvorm kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een contactvorm kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-kennismaken-10-diamond,route-0,diamond,kennismaken,Om herhaling vragen,Vraag iemand de naam nog eens te zeggen.,Je hoort de naam niet goed.,"Nog een keer, …","Nog een keer, alstublieft.","Om herhaling vragen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan om herhaling vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-spullen-01-circle,route-0,circle,spullen,Een voorwerp in de tas noemen,Vertel wat er in je tas zit.,Gebruik een echte tas of verzin de inhoud.,Er zit … in mijn tas.,Er zit een boek in mijn tas.,"Een voorwerp in de tas noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan een voorwerp in de tas noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-spullen-01-square,route-0,square,spullen,Naar de eigenaar van een tas vragen,Vraag van wie de blauwe tas is.,Er staat een blauwe tas bij de tafel.,Van wie is …?,Van wie is de blauwe tas?,"Naar de eigenaar van een tas vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar de eigenaar van een tas vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-spullen-01-triangle,route-0,triangle,spullen,Een tas kiezen,Kies een tas: groot of klein.,Je mag beide tassen gebruiken.,Ik neem de … tas.,Ik neem de kleine tas.,"Een tas kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een tas kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-spullen-01-diamond,route-0,diamond,spullen,Om een tas vragen,Vraag of je een tas mag lenen.,Je moet boeken meenemen. Je hebt geen tas.,Mag ik een … lenen?,Mag ik een tas lenen?,"Om een tas vragen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan om een tas vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-spullen-02-circle,route-0,circle,spullen,De kleur van een pen noemen,Vertel welke kleur de pen heeft.,Kijk naar een pen of verzin een kleur.,De pen is …,De pen is zwart.,"De kleur van een pen noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan de kleur van een pen noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
mx-0-spullen-02-square,route-0,square,spullen,Naar de plaats van pennen vragen,Vraag waar de pennen liggen.,Je wilt schrijven.,Waar liggen …?,Waar liggen de pennen?,"Naar de plaats van pennen vragen met een woord, vaste uitdrukking of korte zin.","Wacht op de vraag. Geef één kort, passend antwoord. Gebruik de oefenfeiten; ontbrekende informatie mag je verzinnen.",De spreker kan naar de plaats van pennen vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Stel dezelfde vraag en luister naar het nieuwe antwoord.
mx-0-spullen-02-triangle,route-0,triangle,spullen,Een pen kiezen,Kies een pen: blauw of zwart.,Beide kleuren mogen op het formulier.,Ik schrijf met de … pen.,Ik schrijf met de blauwe pen.,"Een pen kiezen met een woord, vaste uitdrukking of korte zin.",Luister naar de keuze. Herhaal alleen wat de spreker kiest. Beide aangeboden opties zijn toegestaan.,De spreker kan een pen kiezen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: kies de andere mogelijkheid. De partner herhaalt je nieuwe keuze.
mx-0-spullen-02-diamond,route-0,diamond,spullen,Om vervanging vragen,Vraag om een andere pen.,Deze pen schrijft niet.,Mag ik een andere …?,Mag ik een andere pen?,"Om vervanging vragen met een woord, vaste uitdrukking of korte zin.","Speel de aangesproken persoon. Reageer kort op wat de spreker zegt of vraagt. Je mag helpen, bedanken of beleefd nee zeggen.",De spreker kan om vervanging vragen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,"Optioneel: de partner zegt het antwoord nog eens. Reageer met dank je, oké of een begroeting die past."
mx-0-spullen-03-circle,route-0,circle,spullen,De plek van een sleutel noemen,Vertel waar je sleutel ligt.,"Verzin een plek: tafel, tas of jas.",Mijn sleutel ligt …,Mijn sleutel ligt op tafel.,"De plek van een sleutel noemen met een woord, vaste uitdrukking of korte zin.",Luister naar de mededeling. Herhaal het genoemde gegeven om te laten merken dat je het begrijpt.,De spreker kan de plek van een sleutel noemen. Een begrijpelijk woord of een vaste korte zin is genoeg; het model is niet het enige goede antwoord.,Optioneel: wissel van rol. Noem zelf een ander passend gegeven.
